Sr. Number,Gender,Education_Level_Simplified,Job Title,Age_simplified,Age,Years_of_Experience_CLEARED,Years_of_Experience,Salary_cleared,Salary,Country,Race,Seniority,Education_Level
571,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,Australia,Australian,0,Bachelor's
572,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,Canada,Asian,0,Master's
573,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,UK,Welsh,0,Bachelor's
574,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,USA,Hispanic,0,Master's
575,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,USA,African American,0,Bachelor's
576,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,Australia,Asian,0,Bachelor's
577,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,China,Chinese,0,Bachelor's
578,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,Canada,Asian,0,PhD
579,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,UK,Asian,0,Bachelor's
580,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Canada,Asian,0,Bachelor's
581,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,China,White,0,Bachelor's
582,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,Canada,White,0,Master's
583,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,China,Korean,0,Bachelor's
584,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,China,Korean,0,Master's
585,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,USA,Hispanic,0,Bachelor's
586,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,USA,Hispanic,0,Bachelor's
587,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,UK,Asian,0,Bachelor's
588,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,Australia,Asian,0,PhD
589,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Australia,Australian,0,Bachelor's
590,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Australia,Asian,0,Bachelor's
591,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,Australia,Asian,0,Bachelor's
592,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,China,White,0,Master's
593,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,Canada,White,0,Bachelor's
594,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,USA,White,0,Master's
595,Male,1,Data Analyst,Early Career,25,Fresher,2,High Salary,125000,UK,White,0,Bachelor's
596,Female,2,Data Scientist,Early Career,28,Mid Level,6,Very High Salary,175000,Canada,Asian,0,Bachelor's
597,Male,1,Software Engineer,Early Career,30,Mid Level,8,Very High Salary,190000,UK,White,0,Bachelor's
598,Female,1,Product Manager,Early Career,27,Junior Level,4,High Salary,150000,UK,Welsh,0,Master's
599,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,95000,UK,Mixed,0,Bachelor's
600,Male,2,Data Scientist,Early Career,31,Mid Level,9,Very High Salary,195000,Canada,White,0,Bachelor's
601,Male,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,USA,African American,0,Bachelor's
602,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,Australia,White,0,Master's
603,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Canada,Asian,0,Bachelor's
604,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,China,Chinese,0,Master's
605,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,Australia,White,0,Bachelor's
606,Female,2,Product Manager,Early Career,34,Senior Level,12,Very High Salary,196000,UK,Asian,0,PhD
607,Male,1,Data Analyst,Early Career,23,Fresher,1,Medium Salary,90000,Canada,Asian,0,Bachelor's
608,Female,3,Data Scientist,Early Career,32,Mid Level,10,Very High Salary,193000,Canada,Black,0,Master's
609,Male,1,Software Engineer,Early Career,29,Mid Level,6,Very High Salary,170000,USA,Hispanic,0,Bachelor's
610,Female,1,Product Manager,Early Career,30,Junior Level,5,Very High Salary,160000,China,White,0,PhD
611,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,135000,Canada,Asian,0,Bachelor's
612,Female,2,Data Scientist,Early Career,31,Mid Level,6,Very High Salary,180000,Canada,White,0,Bachelor's
613,Male,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,UK,Mixed,0,Bachelor's
614,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,Canada,Black,0,Master's
615,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,Australia,White,0,Bachelor's
616,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,China,Korean,0,Master's
617,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,Australia,Australian,0,Bachelor's
618,Female,2,Product Manager,Early Career,34,Senior Level,12,Very High Salary,196000,USA,Asian,0,PhD
619,Male,1,Data Analyst,Early Career,25,Fresher,2,High Salary,115000,China,Korean,0,Bachelor's
620,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Canada,Asian,0,Master's
621,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,China,Korean,0,Bachelor's
622,Female,1,Product Manager,Early Career,27,Junior Level,4,High Salary,150000,USA,African American,0,Master's
623,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,UK,Asian,0,Bachelor's
624,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,UK,Asian,0,Bachelor's
625,Male,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,UK,Mixed,0,Bachelor's
626,Female,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Canada,Asian,0,Bachelor's
627,Male,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,UK,Welsh,0,Master's
628,Female,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,Canada,White,0,Bachelor's
629,Male,2,Product Manager,Early Career,34,Senior Level,12,Very High Salary,196000,China,Korean,0,PhD
630,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,Australia,Asian,0,Bachelor's
631,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,Canada,Black,0,Master's
632,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,China,White,0,Bachelor's
633,Male,1,Data Analyst,Early Career,30,Junior Level,5,Very High Salary,160000,China,Chinese,0,Bachelor's
634,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,UK,Welsh,0,Master's
635,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,Canada,Asian,0,Bachelor's
636,Female,3,Data Scientist,Early Career,31,Mid Level,9,Very High Salary,195000,Australia,Asian,0,Master's
637,Male,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,Canada,Black,0,Bachelor's
638,Female,1,Product Manager,Early Career,27,Junior Level,4,High Salary,150000,USA,Asian,0,PhD
639,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Canada,Black,0,Bachelor's
640,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Canada,Black,0,Bachelor's
641,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,UK,White,0,Bachelor's
642,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,USA,African American,0,Master's
643,Male,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,UK,Welsh,0,Bachelor's
644,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,UK,White,0,Master's
645,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,Canada,White,0,Bachelor's
646,Female,2,Product Manager,Early Career,34,Senior Level,12,Very High Salary,196000,UK,Welsh,0,PhD
647,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,China,Chinese,0,Bachelor's
648,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,Canada,Black,0,Master's
649,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,China,Korean,0,Bachelor's
650,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Canada,Black,0,Bachelor's
651,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,Canada,White,0,Bachelor's
652,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,UK,Asian,0,Master's
653,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,China,Korean,0,Bachelor's
654,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,Canada,Black,0,Master's
655,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,UK,White,0,Bachelor's
656,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,Australia,Asian,0,Bachelor's
657,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,USA,Hispanic,0,Bachelor's
658,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,Australia,Australian,0,PhD
659,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Australia,Asian,0,Bachelor's
660,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Canada,Asian,0,Bachelor's
661,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,UK,Asian,0,Bachelor's
662,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,UK,Welsh,0,Master's
663,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,Canada,Black,0,Bachelor's
664,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,Canada,Black,0,Master's
665,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,Australia,White,0,Bachelor's
666,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,USA,White,0,Bachelor's
667,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,China,Korean,0,Bachelor's
668,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,Canada,White,0,PhD
669,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,China,White,0,Bachelor's
670,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Australia,Asian,0,Bachelor's
671,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,USA,African American,0,Bachelor's
672,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,USA,Hispanic,0,Master's
673,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,Australia,White,0,Bachelor's
674,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,USA,Asian,0,Master's
675,Male,1,Data Analyst,Early Career,23,Fresher,1,Medium Salary,90000,USA,White,0,Bachelor's
676,Female,2,Data Scientist,Early Career,27,Junior Level,4,High Salary,150000,Canada,Asian,0,Bachelor's
677,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,China,White,0,Bachelor's
678,Female,1,Product Manager,Early Career,24,Junior Level,3,High Salary,125000,Australia,Australian,0,Master's
679,Male,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,China,Chinese,0,Bachelor's
680,Male,2,Data Scientist,Early Career,31,Mid Level,7,Very High Salary,180000,USA,Hispanic,0,Bachelor's
681,Male,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,UK,Asian,0,Bachelor's
682,Female,2,Product Manager,Early Career,33,Mid Level,10,Very High Salary,195000,China,Korean,0,Master's
683,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,UK,Welsh,0,Bachelor's
684,Female,3,Data Scientist,Early Career,30,Mid Level,6,Very High Salary,170000,Canada,White,0,Master's
685,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,USA,Asian,0,Bachelor's
686,Female,2,Product Manager,Early Career,34,Senior Level,11,Very High Salary,196000,Australia,Australian,0,PhD
687,Male,1,Data Analyst,Early Career,23,Fresher,1,Medium Salary,92000,Canada,Asian,0,Bachelor's
688,Female,3,Data Scientist,Early Career,32,Mid Level,9,Very High Salary,195000,Australia,Australian,0,Master's
689,Male,1,Software Engineer,Early Career,29,Mid Level,6,Very High Salary,170000,UK,Mixed,0,Bachelor's
690,Female,1,Product Manager,Early Career,30,Junior Level,5,Very High Salary,160000,Canada,Asian,0,PhD
691,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,135000,UK,White,0,Bachelor's
692,Female,2,Data Scientist,Early Career,31,Mid Level,6,Very High Salary,180000,China,Korean,0,Bachelor's
693,Male,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,165000,Canada,Asian,0,Bachelor's
694,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,Australia,Australian,0,Master's
695,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,95000,UK,Asian,0,Bachelor's
696,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,USA,African American,0,Master's
697,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,USA,African American,0,Bachelor's
698,Female,2,Product Manager,Early Career,34,Senior Level,12,Very High Salary,196000,Australia,Australian,0,PhD
699,Male,1,Data Analyst,Early Career,25,Fresher,2,High Salary,115000,USA,Asian,0,Bachelor's
700,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Canada,White,0,Master's
701,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,Canada,Asian,0,Bachelor's
702,Female,1,Product Manager,Early Career,27,Junior Level,4,High Salary,150000,USA,Asian,0,Master's
703,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,USA,Asian,0,Bachelor's
704,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,Australia,White,0,Bachelor's
705,Male,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,China,Korean,0,Bachelor's
706,Female,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Australia,Asian,0,Bachelor's
707,Male,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,UK,Welsh,0,Master's
708,Female,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,Australia,Asian,0,Bachelor's
709,Male,2,Product Manager,Early Career,34,Senior Level,12,Very High Salary,196000,Canada,Asian,0,PhD
710,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,Canada,White,0,Bachelor's
711,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,Australia,Asian,0,Master's
712,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,USA,Hispanic,0,Bachelor's
713,Male,1,Data Analyst,Early Career,30,Junior Level,5,Very High Salary,160000,UK,White,0,Bachelor's
714,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,UK,Mixed,0,Master's
715,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,China,White,0,Bachelor's
716,Female,3,Data Scientist,Early Career,31,Mid Level,9,Very High Salary,195000,USA,Hispanic,0,Master's
717,Male,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,Canada,White,0,Bachelor's
718,Female,1,Product Manager,Early Career,27,Junior Level,4,High Salary,150000,China,Korean,0,PhD
719,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,USA,Asian,0,Bachelor's
720,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,China,Korean,0,Bachelor's
721,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,USA,Hispanic,0,Bachelor's
722,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,USA,Hispanic,0,Master's
723,Male,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,Australia,White,0,Bachelor's
724,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,Canada,Asian,0,Master's
725,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,USA,White,0,Bachelor's
726,Female,2,Product Manager,Early Career,34,Senior Level,12,Very High Salary,196000,USA,Asian,0,PhD
727,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,Canada,Asian,0,Bachelor's
728,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,UK,Mixed,0,Master's
729,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Australia,Australian,0,Bachelor's
730,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Australia,Asian,0,Bachelor's
731,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,UK,Asian,0,Bachelor's
732,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,USA,Asian,0,Master's
733,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,Australia,White,0,Bachelor's
734,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,China,Chinese,0,Master's
735,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,Australia,White,0,Bachelor's
736,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,Canada,Black,0,Bachelor's
737,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,Canada,Black,0,Bachelor's
738,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,Canada,Asian,0,PhD
739,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,USA,Asian,0,Bachelor's
740,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Australia,Asian,0,Bachelor's
741,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,USA,Asian,0,Bachelor's
742,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,USA,White,0,Master's
743,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,Australia,Asian,0,Bachelor's
744,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,UK,Welsh,0,Master's
745,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,Australia,Australian,0,Bachelor's
746,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,UK,Mixed,0,Bachelor's
747,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,UK,Welsh,0,Bachelor's
748,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,China,Korean,0,PhD
749,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,China,Chinese,0,Bachelor's
750,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Australia,Asian,0,Bachelor's
751,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,UK,White,0,Bachelor's
752,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,China,Korean,0,Master's
753,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,China,Chinese,0,Bachelor's
754,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,Canada,Asian,0,Master's
755,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,Canada,White,0,Bachelor's
756,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,Canada,Asian,0,Bachelor's
757,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,USA,White,0,Bachelor's
758,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,UK,Asian,0,PhD
759,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Canada,Asian,0,Bachelor's
760,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Australia,White,0,Bachelor's
761,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,UK,Asian,0,Bachelor's
762,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,China,Chinese,0,Master's
763,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,China,White,0,Bachelor's
764,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,China,Korean,0,Master's
765,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,Australia,Asian,0,Bachelor's
766,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,China,Chinese,0,Bachelor's
767,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,Canada,White,0,Bachelor's
768,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,USA,White,0,PhD
769,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Canada,Black,0,Bachelor's
770,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Canada,Black,0,Bachelor's
771,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,Canada,White,0,Bachelor's
772,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,USA,White,0,Master's
773,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,Australia,White,0,Bachelor's
774,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,China,Chinese,0,Master's
775,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,USA,Asian,0,Bachelor's
776,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,UK,Asian,0,Bachelor's
777,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,USA,Hispanic,0,Bachelor's
778,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,USA,African American,0,PhD
779,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Australia,Australian,0,Bachelor's
780,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,USA,African American,0,Bachelor's
781,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,Australia,Asian,0,Bachelor's
782,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,UK,White,0,Master's
783,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,UK,White,0,Bachelor's
784,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,China,Korean,0,Master's
785,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,UK,Welsh,0,Bachelor's
786,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,Australia,Australian,0,Bachelor's
787,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,Australia,Australian,0,Bachelor's
788,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,Australia,Asian,0,PhD
789,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,USA,White,0,Bachelor's
790,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,USA,African American,0,Bachelor's
791,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,UK,Asian,0,Bachelor's
792,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,Canada,Black,0,Master's
793,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,China,Chinese,0,Bachelor's
794,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,Canada,White,0,Master's
795,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,USA,Asian,0,Bachelor's
796,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,UK,Welsh,0,Bachelor's
797,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,Canada,White,0,Bachelor's
798,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,UK,Mixed,0,PhD
799,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,China,White,0,Bachelor's
800,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Australia,Australian,0,Bachelor's
801,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,UK,Mixed,0,Bachelor's
802,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,USA,Asian,0,Master's
803,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,China,Chinese,0,Bachelor's
804,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,UK,Mixed,0,Master's
805,Female,1,Data Analyst,Early Career,25,Fresher,2,High Salary,110000,USA,African American,0,Bachelor's
806,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,China,Korean,0,Bachelor's
807,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,USA,Hispanic,0,Bachelor's
808,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,UK,Welsh,0,PhD
809,Male,1,Data Analyst,Early Career,25,Junior Level,3,High Salary,135000,Australia,Asian,0,Bachelor's
810,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,China,White,0,Bachelor's
811,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,UK,Welsh,0,Bachelor's
812,Male,1,Data Analyst,Early Career,30,Junior Level,5,Very High Salary,160000,UK,Asian,0,Bachelor's
813,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,95000,Australia,White,0,Master's
814,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,196000,Australia,Australian,0,Bachelor's
815,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,UK,Mixed,0,Bachelor's
816,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,USA,African American,0,Master's
817,Female,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,UK,Mixed,0,Bachelor's
818,Male,1,Data Analyst,Early Career,31,Mid Level,9,Very High Salary,195000,USA,White,0,Bachelor's
819,Female,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,160000,UK,White,0,PhD
820,Female,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,Canada,Asian,0,Bachelor's
821,Male,3,Data Scientist,Early Career,30,Mid Level,7,Very High Salary,185000,Australia,Asian,0,Bachelor's
822,Female,1,Product Manager,Early Career,27,Junior Level,4,High Salary,150000,Canada,Black,0,Bachelor's
823,Male,1,Data Analyst,Early Career,24,Fresher,1,Medium Salary,90000,UK,Asian,0,PhD
824,Male,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,USA,African American,0,Bachelor's
825,Male,1,Data Analyst,Early Career,25,Fresher,2,High Salary,115000,USA,White,0,Bachelor's
826,Male,1,Software Engineer,Early Career,28,Junior Level,5,Very High Salary,165000,China,Korean,0,Master's
827,Male,1,Data Analyst,Early Career,26,Junior Level,3,High Salary,130000,USA,Asian,0,Bachelor's
828,Female,2,Data Scientist,Early Career,29,Mid Level,6,Very High Salary,180000,Canada,Asian,0,Bachelor's
829,Male,1,Software Engineer,Early Career,32,Mid Level,8,Very High Salary,190000,UK,Asian,0,Bachelor's
830,Female,2,Product Manager,Early Career,33,Senior Level,11,Very High Salary,198000,USA,Hispanic,0,Master's
831,Male,1,Software Engineer,Early Career,27,Junior Level,4,High Salary,140000,China,White,0,Bachelor's
832,Female,2,Data Scientist,Early Career,31,Mid Level,6,Very High Salary,180000,Australia,Asian,0,Master's
